Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Clark_Y_airfoil,11457.316642,11457.316642,3599.476655,3599.476655
Totals,11457.316642,11457.316642,3599.476655,3599.476655

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Clark_Y_airfoil_Surf0,11457.316642,11457.316642
